
Contract: .migrations
Function Name | Function Signature
InsufficientExecutionGasForErrorHandling | 0x79293964
InsufficientHandleExecutionErrorGas | 0x3083b9e5
InvalidPrimaryPricesForSimulation | 0x663de023
RequestNotYetCancellable | 0xe8266438
Unauthorized         | 0xa35b150b
UnsupportedOracleBlockNumberType | 0xb6029281
OracleError          | 0x9966b250
_executeDeposit      | 0x9dffd516
cancelDeposit        | 0x31404484
createDeposit        | 0x8e13ac1a
dataStore            | 0x660d0d67
depositVault         | 0xd7cd3949
eventEmitter         | 0x9ff78c30
executeDeposit       | 0x5b472f4c
oracle               | 0x7dc0d1d0
roleStore            | 0x4a4a7b04
simulateExecuteDeposit | 0xc023b6f5

Contract: DepositStoreUtils
Function Name | Function Signature
--------------------------------
DepositNotFound      | 0x43e30ca8
ACCOUNT              | 0xe90524f2
CALLBACK_CONTRACT    | 0x8f7f2048
CALLBACK_GAS_LIMIT   | 0x33d608f1
EXECUTION_FEE        | 0x4675e8eb
INITIAL_LONG_TOKEN   | 0x52341d26
INITIAL_LONG_TOKEN_AMOUNT | 0xd165556f
INITIAL_SHORT_TOKEN  | 0xc76eb23b
INITIAL_SHORT_TOKEN_AMOUNT | 0x9a41866b
LONG_TOKEN_SWAP_PATH | 0xb451e534
MARKET               | 0xf46f16c2
MIN_MARKET_TOKENS    | 0x4e39e541
RECEIVER             | 0xad7430cc
SHORT_TOKEN_SWAP_PATH | 0xdb854fb7
SHOULD_UNWRAP_NATIVE_TOKEN | 0x04a36e20
UI_FEE_RECEIVER      | 0x566a6e66
UPDATED_AT_BLOCK     | 0xf145e54a
get                  | 0xfdfc26f3

Contract: DepositUtils
Function Name | Function Signature
--------------------------------
DisabledMarket       | 0x09f8c937
EmptyAccount         | 0xdd7016a2
EmptyDeposit         | 0x95b66fe9
EmptyDepositAmounts  | 0x01af8c24
EmptyMarket          | 0x05fbc1ae
EmptyReceiver        | 0xd551823d
InsufficientExecutionFee | 0x5dac504d
InsufficientWntAmountForExecutionFee | 0x3a78cd7e
InvalidSwapMarket    | 0xcb9bd134
MaxCallbackGasLimitExceeded | 0x10aeb692
MaxSwapPathLengthExceeded | 0x9da36043

Contract: DepositVault
Function Name | Function Signature
--------------------------------
EmptyHoldingAddress  | 0xe9b78bd4
EmptyReceiver        | 0xd551823d
EmptyTokenTranferGasLimit | 0x9fc297fa
InvalidNativeTokenSender | 0xe71a51be
SelfTransferNotSupported | 0xe70f9152
TokenTransferError   | 0x979dc780
Unauthorized         | 0xa35b150b
dataStore            | 0x660d0d67
recordTransferIn     | 0x352f9aed
roleStore            | 0x4a4a7b04
syncTokenBalance     | 0xeb40133f
tokenBalances        | 0x523fba7f
transferOut          | 0x078d3b79
transferOut          | 0x2fb12605
transferOutNativeToken | 0xd443ca94

Contract: EventEmitter
Function Name | Function Signature
--------------------------------
Unauthorized         | 0xa35b150b
EventLog             | 0x8158c92a
EventLog1            | 0x77ee6d2f
EventLog2            | 0x6fdf1da0
emitDataLog1         | 0xf9d5c0ea
emitDataLog2         | 0xdda0db32
emitDataLog3         | 0xb3ac1c38
emitDataLog4         | 0xee288ce8
emitEventLog         | 0x1ec24019
emitEventLog1        | 0xfebd4231
emitEventLog2        | 0xc1708ab3
roleStore            | 0x4a4a7b04

Contract: ExchangeRouter
Function Name | Function Signature
--------------------------------
CollateralAlreadyClaimed | 0xec6d89c8
DisabledFeature      | 0xdd70e0c9
DisabledMarket       | 0x09f8c937
EmptyAddressInMarketTokenBalanceValidation | 0xe474a425
EmptyDeposit         | 0x95b66fe9
EmptyHoldingAddress  | 0xe9b78bd4
EmptyMarket          | 0x05fbc1ae
EmptyOrder           | 0x16307797
EmptyReceiver        | 0xd551823d
EmptyTokenTranferGasLimit | 0x9fc297fa
InvalidClaimAffiliateRewardsInput | 0x5b3043dd
InvalidClaimCollateralInput | 0x42c0d1f2
InvalidClaimFundingFeesInput | 0x7363cfa5
InvalidClaimUiFeesInput | 0x74cee48d
InvalidMarketTokenBalance | 0x33a1ea6b
InvalidMarketTokenBalanceForClaimableFunding | 0x9dd026db
InvalidMarketTokenBalanceForCollateralAmount | 0x808c464f
InvalidUiFeeFactor   | 0x81468139
TokenTransferError   | 0x979dc780
Unauthorized         | 0xa35b150b
cancelDeposit        | 0x31404484
cancelOrder          | 0x7489ec23
cancelWithdrawal     | 0x7213c5a0
claimAffiliateRewards | 0x49287a22
claimCollateral      | 0xe9249b57
claimFundingFees     | 0xc41b1ab3
claimUiFees          | 0x01a9cbb2
createDeposit        | 0xbb69470e
createOrder          | 0xd8b6cc2f
createWithdrawal     | 0xa19048e4
dataStore            | 0x660d0d67
depositHandler       | 0x9c8b2cfb
eventEmitter         | 0x9ff78c30
multicall            | 0xac9650d8
orderHandler         | 0xb5848305
roleStore            | 0x4a4a7b04
router               | 0xf887ea40
sendNativeToken      | 0x53ead2d3
sendTokens           | 0xe6d66ac8
sendWnt              | 0x7d39aaf1
setSavedCallbackContract | 0x073fb09e
setUiFeeFactor       | 0x5a03cd94
simulateExecuteDeposit | 0xc023b6f5
simulateExecuteOrder | 0x6f748dfb
simulateExecuteWithdrawal | 0x2997caea
updateOrder          | 0xaab286f8
withdrawalHandler    | 0x2c2f3c07

Contract: ExecuteDepositUtils
Function Name | Function Signature
--------------------------------
DisabledMarket       | 0x09f8c937
EmptyDeposit         | 0x95b66fe9
EmptyDepositAmountsAfterSwap | 0xd1c3d5bd
EmptyMarket          | 0x05fbc1ae
InvalidMinMarketTokensForFirstDeposit | 0x3f9c06ab
InvalidPoolValueForDeposit | 0xadaa688d
InvalidReceiverForFirstDeposit | 0x77e8e698
InvalidSwapMarket    | 0xcb9bd134
InvalidSwapOutputToken | 0x6ba3dd8b
MaxPoolAmountExceeded | 0x6429ff3f
MaxPoolAmountForDepositExceeded | 0x6e28a3a1
MinMarketTokens      | 0x6ce23460
OracleBlockNumberNotWithinRange | 0x7c1f500a
PRBMathUD60x18__Exp2InputTooBig | 0x4a4f26f1
PRBMathUD60x18__LogInputTooSmall | 0xd88504dc
PRBMath__MulDivFixedPointOverflow | 0xd31b3402
PnlFactorExceededForLongs | 0xb92fb250
PnlFactorExceededForShorts | 0xb0010694
UnexpectedTokenForVirtualInventory | 0x785ee469
UsdDeltaExceedsPoolValue | 0x2e949409
RECEIVER_FOR_FIRST_DEPOSIT | 0xf1b65c51

Contract: ExecuteWithdrawalUtils
Function Name | Function Signature
--------------------------------
DisabledMarket       | 0x09f8c937
EmptyMarket          | 0x05fbc1ae
EmptyMarketTokenSupply | 0x2ee3d69c
EmptyWithdrawal      | 0x6d4bb5e9
EmptyWithdrawalAmount | 0x01d6f7b1
InsufficientMarketTokens | 0x82c8828a
InsufficientReserve  | 0x315276c9
InvalidPoolValueForWithdrawal | 0x90a6af3b
InvalidSwapMarket    | 0xcb9bd134
OracleBlockNumberNotWithinRange | 0x7c1f500a
PnlFactorExceededForLongs | 0xb92fb250
PnlFactorExceededForShorts | 0xb0010694
UnexpectedTokenForVirtualInventory | 0x785ee469

Contract: FeeHandler
Function Name | Function Signature
--------------------------------
EmptyReceiver        | 0xd551823d
InvalidClaimFeesInput | 0x84fa13d5
Unauthorized         | 0xa35b150b
claimFees            | 0x3de460f0
dataStore            | 0x660d0d67
eventEmitter         | 0x9ff78c30
roleStore            | 0x4a4a7b04

Contract: FeeUtils
Function Name | Function Signature
--------------------------------
EmptyReceiver        | 0xd551823d

Contract: GasUtils
Function Name | Function Signature
--------------------------------
KeeperExecutionFee   | 0x57682c67
